,OBJECTID,STATECODE,COUNTYCODE,GNIS_ID,ST_CNTY_CO,COUNTYNAME,LEGAL_NAME,CLASSCODE,LEGAL_DESC,CLASSCODE_,STATE_POST,GIS_ACRES,STATENAME,Count_,ID,comm_avg,res_avg
16,61,48,413,01383992,48413,Schleicher,Schleicher County,H1,County,An active county or equivalent feature,TX,836933.467,Texas,1,20,1.31161,1.31161
17,63,48,107,01383839,48107,Crosby,Crosby County,H1,County,An active county or equivalent feature,TX,577034.559,Texas,10,21,0.0,0.0
18,75,48,271,01383921,48271,Kinney,Kinney County,H1,County,An active county or equivalent feature,TX,873849.02,Texas,3,22,0.0,0.0
19,77,48,045,01383808,48045,Briscoe,Briscoe County,H1,County,An active county or equivalent feature,TX,576558.338,Texas,3,23,1.57711,1.57711
20,79,48,383,01383977,48383,Reagan,Reagan County,H1,County,An active county or equivalent feature,TX,752966.115,Texas,4,24,1.9414,1.9414
21,88,48,173,01383872,48173,Glasscock,Glasscock County,H1,County,An active county or equivalent feature,TX,577051.697,Texas,3,25,0.0,0.0
22,91,48,179,01383875,48179,Gray,Gray County,H1,County,An active county or equivalent feature,TX,594212.756,Texas,9,26,0.599604,0.599604
23,92,48,229,01383900,48229,Hudspeth,Hudspeth County,H1,County,An active county or equivalent feature,TX,2929242.813,Texas,9,27,0.0,0.0
24,97,48,079,01383825,48079,Cochran,Cochran County,H1,County,An active county or equivalent feature,TX,495983.688,Texas,6,28,0.0,0.0
25,100,48,137,01383854,48137,Edwards,Edwards County,H1,County,An active county or equivalent feature,TX,1357441.602,Texas,3,29,1.47092,1.47092
26,104,48,345,01383958,48345,Motley,Motley County,H1,County,An active county or equivalent feature,TX,633603.36,Texas,5,30,0.0,0.0
27,106,48,329,01383950,48329,Midland,Midland County,H1,County,An active county or equivalent feature,TX,577288.027,Texas,1,31,0.0,0.0
28,108,48,165,01383868,48165,Gaines,Gaines County,H1,County,An active county or equivalent feature,TX,961682.836,Texas,5,32,2.89249,2.89249
29,109,48,317,01383941,48317,Martin,Martin County,H1,County,An active county or equivalent feature,TX,586090.015,Texas,8,33,1.17646,1.17646
30,111,48,003,01383787,48003,Andrews,Andrews County,H1,County,An active county or equivalent feature,TX,961716.937,Texas,3,34,0.992098,0.992098
31,112,48,375,01383973,48375,Potter,Potter County,H1,County,An active county or equivalent feature,TX,590051.658,Texas,4,35,0.0,0.0
32,113,48,169,01383870,48169,Garza,Garza County,H1,County,An active county or equivalent feature,TX,573214.673,Texas,7,36,0.648163,0.648163
33,115,48,369,01383970,48369,Parmer,Parmer County,H1,County,An active county or equivalent feature,TX,566095.539,Texas,8,37,0.828096,0.828096
34,118,48,445,01384008,48445,Terry,Terry County,H1,County,An active county or equivalent feature,TX,570470.569,Texas,9,39,1.65501,1.65501
35,121,48,065,01383818,48065,Carson,Carson County,H1,County,An active county or equivalent feature,TX,590883.829,Texas,7,40,0.638801,0.638801
36,124,48,431,01384001,48431,Sterling,Sterling County,H1,County,An active county or equivalent feature,TX,590927.928,Texas,2,41,2.2098,2.2098
37,125,48,495,01384033,48495,Winkler,Winkler County,H1,County,An active county or equivalent feature,TX,536657.361,Texas,3,42,0.747046,0.747046
38,129,48,377,01383974,48377,Presidio,Presidio County,H1,County,An active county or equivalent feature,TX,2468106.642,Texas,7,43,1.33901,1.33901
39,130,48,303,01383937,48303,Lubbock,Lubbock County,H1,County,An active county or equivalent feature,TX,576646.468,Texas,21,44,1.60186,1.60186
40,135,48,115,01383843,48115,Dawson,Dawson County,H1,County,An active county or equivalent feature,TX,577470.974,Texas,13,46,1.03203,1.03203
41,136,48,371,01383971,48371,Pecos,Pecos County,H1,County,An active county or equivalent feature,TX,3049378.657,Texas,8,47,0.769982,0.769982
42,142,48,437,01384004,48437,Swisher,Swisher County,H1,County,An active county or equivalent feature,TX,576670.35,Texas,6,48,0.947717,0.947717
43,146,48,295,01383933,48295,Lipscomb,Lipscomb County,H1,County,An active county or equivalent feature,TX,594772.747,Texas,5,50,0.469346,0.469346
44,147,48,087,01383829,48087,Collingsworth,Collingsworth County,H1,County,An active county or equivalent feature,TX,588758.839,Texas,7,51,1.01244,1.01244
45,152,48,381,01383976,48381,Randall,Randall County,H1,County,An active county or equivalent feature,TX,590896.247,Texas,6,52,1.9859,1.9859
46,157,48,211,01383891,48211,Hemphill,Hemphill County,H1,County,An active county or equivalent feature,TX,584167.701,Texas,2,53,0.0,0.0
47,164,48,153,01383862,48153,Floyd,Floyd County,H1,County,An active county or equivalent feature,TX,635366.934,Texas,13,54,1.18235,1.18235
48,165,48,465,01384018,48465,Val Verde,Val Verde County,H1,County,An active county or equivalent feature,TX,2069696.173,Texas,7,55,0.0,0.0
49,170,48,111,01383841,48111,Dallam,Dallam County,H1,County,An active county or equivalent feature,TX,963353.286,Texas,4,57,1.42653,1.42653
50,172,48,335,01383953,48335,Mitchell,Mitchell County,H1,County,An active county or equivalent feature,TX,586217.655,Texas,4,58,1.48432,1.48432
51,174,48,075,01383823,48075,Childress,Childress County,H1,County,An active county or equivalent feature,TX,457540.703,Texas,4,59,1.08971,1.08971
52,175,48,243,01383907,48243,Jeff Davis,Jeff Davis County,H1,County,An active county or equivalent feature,TX,1446982.083,Texas,2,60,0.0,0.0
53,181,48,443,01384007,48443,Terrell,Terrell County,H1,County,An active county or equivalent feature,TX,1508850.813,Texas,3,61,0.0,0.0
54,182,48,117,01383845,48117,Deaf Smith,Deaf Smith County,H1,County,An active county or equivalent feature,TX,959072.17,Texas,6,62,0.0,0.0
55,185,48,195,01383883,48195,Hansford,Hansford County,H1,County,An active county or equivalent feature,TX,588814.239,Texas,4,63,0.929853,0.929853
56,187,48,043,01383807,48043,Brewster,Brewster County,H1,County,An active county or equivalent feature,TX,3965867.754,Texas,9,64,0.961084,0.961084
57,189,48,451,01384011,48451,Tom Green,Tom Green County,H1,County,An active county or equivalent feature,TX,988994.947,Texas,13,65,1.65377,1.65377
58,192,48,501,01384036,48501,Yoakum,Yoakum County,H1,County,An active county or equivalent feature,TX,511196.101,Texas,3,66,0.830623,0.830623
59,194,48,033,01383802,48033,Borden,Borden County,H1,County,An active county or equivalent feature,TX,579596.82,Texas,1,67,0.0,0.0
60,198,48,069,01383820,48069,Castro,Castro County,H1,County,An active county or equivalent feature,TX,576091.11,Texas,6,68,0.0,0.0
61,199,48,269,01383920,48269,King,King County,H1,County,An active county or equivalent feature,TX,584329.435,Texas,3,69,0.0,0.0
62,203,48,151,01383861,48151,Fisher,Fisher County,H1,County,An active county or equivalent feature,TX,576659.677,Texas,10,70,2.67342,2.67342
63,205,48,081,01383826,48081,Coke,Coke County,H1,County,An active county or equivalent feature,TX,594125.508,Texas,5,71,2.6087,2.6087
64,209,48,415,01383993,48415,Scurry,Scurry County,H1,County,An active county or equivalent feature,TX,580978.631,Texas,12,72,1.98628,1.98628
65,210,48,475,01384023,48475,Ward,Ward County,H1,County,An active county or equivalent feature,TX,535886.694,Texas,7,73,0.676976,0.676976
66,219,48,105,01383838,48105,Crockett,Crockett County,H1,County,An active county or equivalent feature,TX,1797019.161,Texas,1,75,0.0,0.0
67,224,48,129,01383850,48129,Donley,Donley County,H1,County,An active county or equivalent feature,TX,597109.764,Texas,5,77,0.301156,0.301156
68,226,48,101,01383836,48101,Cottle,Cottle County,H1,County,An active county or equivalent feature,TX,577368.696,Texas,6,78,1.85713,1.85713
69,230,48,191,01383881,48191,Hall,Hall County,H1,County,An active county or equivalent feature,TX,577963.726,Texas,10,79,0.860527,0.860527
70,232,48,135,01383853,48135,Ector,Ector County,H1,County,An active county or equivalent feature,TX,577163.9,Texas,9,80,1.75893,1.75893
71,241,48,421,01383996,48421,Sherman,Sherman County,H1,County,An active county or equivalent feature,TX,590578.029,Texas,2,82,1.14717,1.14717
72,243,48,017,01383794,48017,Bailey,Bailey County,H1,County,An active county or equivalent feature,TX,531124.893,Texas,10,83,1.04084,1.04084
73,244,48,263,01383917,48263,Kent,Kent County,H1,County,An active county or equivalent feature,TX,576438.426,Texas,3,84,0.0,0.0
74,245,48,141,01383855,48141,El Paso,El Paso County,H1,County,An active county or equivalent feature,TX,648904.178,Texas,13,85,0.819462,0.819462
75,246,48,301,01383936,48301,Loving,Loving County,H1,County,An active county or equivalent feature,TX,432994.887,Texas,1,86,0.0,0.0
76,247,48,125,01383848,48125,Dickens,Dickens County,H1,County,An active county or equivalent feature,TX,580207.972,Texas,7,87,2.77645,2.77645
77,248,48,279,01383926,48279,Lamb,Lamb County,H1,County,An active county or equivalent feature,TX,651099.453,Texas,15,88,0.986907,0.986907
78,250,48,233,01383902,48233,Hutchinson,Hutchinson County,H1,County,An active county or equivalent feature,TX,573143.4,Texas,8,89,0.516869,0.516869
79,254,48,235,01383903,48235,Irion,Irion County,H1,County,An active county or equivalent feature,TX,672031.935,Texas,3,91,0.627078,0.627078
80,262,48,389,01383980,48389,Reeves,Reeves County,H1,County,An active county or equivalent feature,TX,1689871.108,Texas,8,92,2.53077,2.53077
81,263,48,109,01383840,48109,Culberson,Culberson County,H1,County,An active county or equivalent feature,TX,2442538.795,Texas,5,93,1.21123,1.21123
82,270,48,323,01383944,48323,Maverick,Maverick County,H1,County,An active county or equivalent feature,TX,826818.226,Texas,5,94,0.0,0.0
83,1,48,031,01383801,48031,Blanco,Blanco County,H1,County,An active county or equivalent feature,TX,457043.165,Texas,8,95,1.42944,1.42944
84,6,48,453,01384012,48453,Travis,Travis County,H1,County,An active county or equivalent feature,TX,655194.812,Texas,35,96,1.76332,1.76332
85,8,48,281,01383927,48281,Lampasas,Lampasas County,H1,County,An active county or equivalent feature,TX,456480.161,Texas,8,97,1.24253,1.24253
86,18,48,299,01383935,48299,Llano,Llano County,H1,County,An active county or equivalent feature,TX,618576.821,Texas,10,98,1.15138,1.15138
87,19,48,319,01383942,48319,Mason,Mason County,H1,County,An active county or equivalent feature,TX,595756.33,Texas,10,99,1.01904,1.01904
88,24,48,285,01383928,48285,Lavaca,Lavaca County,H1,County,An active county or equivalent feature,TX,622539.902,Texas,20,100,0.603911,0.603911
89,33,48,029,01383800,48029,Bexar,Bexar County,H1,County,An active county or equivalent feature,TX,804135.285,Texas,37,101,1.57028,1.57028
90,35,48,047,01383809,48047,Brooks,Brooks County,H1,County,An active county or equivalent feature,TX,603891.656,Texas,3,102,0.0916413,0.0916413
91,37,48,177,01383874,48177,Gonzales,Gonzales County,H1,County,An active county or equivalent feature,TX,685574.824,Texas,17,103,0.839948,0.839948
92,39,48,265,01383918,48265,Kerr,Kerr County,H1,County,An active county or equivalent feature,TX,710506.349,Texas,5,104,1.13099,1.13099
93,40,48,427,01383999,48427,Starr,Starr County,H1,County,An active county or equivalent feature,TX,785133.86,Texas,23,105,1.37972,1.37972
94,43,48,479,01384025,48479,Webb,Webb County,H1,County,An active county or equivalent feature,TX,2160892.548,Texas,7,108,0.904789,0.904789
95,45,48,249,01383910,48249,Jim Wells,Jim Wells County,H1,County,An active county or equivalent feature,TX,555892.678,Texas,9,110,1.29584,1.29584
96,46,48,505,01384038,48505,Zapata,Zapata County,H1,County,An active county or equivalent feature,TX,677186.275,Texas,8,111,0.0,0.0
97,47,48,327,01383949,48327,Menard,Menard County,H1,County,An active county or equivalent feature,TX,577588.578,Texas,3,112,0.803083,0.803083
98,58,48,027,01383799,48027,Bell,Bell County,H1,County,An active county or equivalent feature,TX,698429.053,Texas,34,113,1.19419,1.19419
99,59,48,019,01383795,48019,Bandera,Bandera County,H1,County,An active county or equivalent feature,TX,509418.18,Texas,6,114,2.13123,2.13123
100,65,48,507,01384039,48507,Zavala,Zavala County,H1,County,An active county or equivalent feature,TX,833035.853,Texas,3,115,0.0,0.0
101,68,48,123,01383844,48123,DeWitt,DeWitt County,H1,County,An active county or equivalent feature,TX,581917.415,Texas,16,116,0.565493,0.565493
102,76,48,149,01383860,48149,Fayette,Fayette County,H1,County,An active county or equivalent feature,TX,614435.476,Texas,38,117,0.77613,0.77613
103,81,48,215,01383893,48215,Hidalgo,Hidalgo County,H1,County,An active county or equivalent feature,TX,1015232.942,Texas,41,118,0.592541,0.592541
104,84,48,247,01383909,48247,Jim Hogg,Jim Hogg County,H1,County,An active county or equivalent feature,TX,726646.636,Texas,5,121,0.0,0.0
105,85,48,131,01383851,48131,Duval,Duval County,H1,County,An active county or equivalent feature,TX,1148969.497,Texas,11,122,0.0,0.0
106,90,48,053,01383812,48053,Burnet,Burnet County,H1,County,An active county or equivalent feature,TX,653250.441,Texas,13,125,1.16497,1.16497
107,96,48,491,01384031,48491,Williamson,Williamson County,H1,County,An active county or equivalent feature,TX,725125.234,Texas,35,126,1.76255,1.76255
108,102,48,209,01383890,48209,Hays,Hays County,H1,County,An active county or equivalent feature,TX,434332.072,Texas,16,127,2.22023,2.22023
109,103,48,325,01383948,48325,Medina,Medina County,H1,County,An active county or equivalent feature,TX,854335.454,Texas,12,128,1.03404,1.03404
110,107,48,469,01384020,48469,Victoria,Victoria County,H1,County,An active county or equivalent feature,TX,568442.569,Texas,12,129,0.90644,0.90644
111,114,48,055,01383813,48055,Caldwell,Caldwell County,H1,County,An active county or equivalent feature,TX,350823.139,Texas,14,130,1.38034,1.38034
112,120,48,385,01383978,48385,Real,Real County,H1,County,An active county or equivalent feature,TX,447823.125,Texas,3,131,0.0,0.0
113,126,48,163,01383867,48163,Frio,Frio County,H1,County,An active county or equivalent feature,TX,726653.328,Texas,7,132,0.884567,0.884567
114,128,48,145,01383858,48145,Falls,Falls County,H1,County,An active county or equivalent feature,TX,495836.184,Texas,24,133,1.09211,1.09211
115,138,48,187,01383879,48187,Guadalupe,Guadalupe County,H1,County,An active county or equivalent feature,TX,457620.846,Texas,16,134,1.00269,1.00269
116,143,48,255,01383913,48255,Karnes,Karnes County,H1,County,An active county or equivalent feature,TX,483332.561,Texas,16,135,2.00982,2.00982
117,154,48,099,01383835,48099,Coryell,Coryell County,H1,County,An active county or equivalent feature,TX,676390.001,Texas,23,136,1.15839,1.15839
118,155,48,091,01383831,48091,Comal,Comal County,H1,County,An active county or equivalent feature,TX,368039.156,Texas,13,137,0.0,0.0
119,161,48,259,01383915,48259,Kendall,Kendall County,H1,County,An active county or equivalent feature,TX,422993.001,Texas,4,138,1.58038,1.58038
120,168,48,171,01383871,48171,Gillespie,Gillespie County,H1,County,An active county or equivalent feature,TX,679107.027,Texas,10,139,0.0,0.0
121,195,48,411,01383991,48411,San Saba,San Saba County,H1,County,An active county or equivalent feature,TX,727951.925,Texas,12,140,0.285359,0.285359
122,204,48,095,01383833,48095,Concho,Concho County,H1,County,An active county or equivalent feature,TX,635127.224,Texas,7,141,1.86365,1.86365
123,208,48,021,01383796,48021,Bastrop,Bastrop County,H1,County,An active county or equivalent feature,TX,572218.312,Texas,15,142,1.08648,1.08648
124,217,48,267,01383919,48267,Kimble,Kimble County,H1,County,An active county or equivalent feature,TX,800615.511,Texas,6,143,1.21102,1.21102
125,218,48,307,01383945,48307,McCulloch,McCulloch County,H1,County,An active county or equivalent feature,TX,687541.998,Texas,16,144,1.11897,1.11897
126,228,48,287,01383929,48287,Lee,Lee County,H1,County,An active county or equivalent feature,TX,405516.085,Texas,13,145,0.394673,0.394673
127,242,48,463,01384017,48463,Uvalde,Uvalde County,H1,County,An active county or equivalent feature,TX,997253.394,Texas,8,146,0.648807,0.648807
128,261,48,331,01383951,48331,Milam,Milam County,H1,County,An active county or equivalent feature,TX,653816.853,Texas,25,147,1.26104,1.26104
129,264,48,013,01383792,48013,Atascosa,Atascosa County,H1,County,An active county or equivalent feature,TX,781133.814,Texas,15,148,1.61406,1.61406
130,265,48,493,01384032,48493,Wilson,Wilson County,H1,County,An active county or equivalent feature,TX,516918.285,Texas,12,149,1.99717,1.99717
131,268,48,127,01383849,48127,Dimmit,Dimmit County,H1,County,An active county or equivalent feature,TX,854758.409,Texas,6,151,1.39226,1.39226
132,269,48,311,01383947,48311,McMullen,McMullen County,H1,County,An active county or equivalent feature,TX,740958.212,Texas,2,152,0.0,0.0
133,272,48,297,01383934,48297,Live Oak,Live Oak County,H1,County,An active county or equivalent feature,TX,691047.573,Texas,11,153,0.644785,0.644785
134,273,48,283,01383924,48283,La Salle,La Salle County,H1,County,An active county or equivalent feature,TX,954012.409,Texas,7,154,0.0,0.0
135,274,48,025,01383798,48025,Bee,Bee County,H1,County,An active county or equivalent feature,TX,563691.274,Texas,11,155,1.25581,1.25581
136,275,48,175,01383873,48175,Goliad,Goliad County,H1,County,An active county or equivalent feature,TX,548980.02,Texas,8,156,0.0110952,0.0110952
137,17,48,339,01383955,48339,Montgomery,Montgomery County,H1,County,An active county or equivalent feature,TX,689667.324,Texas,31,158,2.14611,2.14611
138,27,48,477,01384024,48477,Washington,Washington County,H1,County,An active county or equivalent feature,TX,397940.395,Texas,18,159,0.851572,0.851572
139,32,48,225,01383898,48225,Houston,Houston County,H1,County,An active county or equivalent feature,TX,789167.533,Texas,24,160,1.09557,1.09557
140,53,48,157,01383864,48157,Fort Bend,Fort Bend County,H1,County,An active county or equivalent feature,TX,566188.754,Texas,23,161,0.718274,0.718274
141,56,48,041,01383806,48041,Brazos,Brazos County,H1,County,An active county or equivalent feature,TX,376497.698,Texas,16,162,0.67988,0.67988
142,69,48,005,01383788,48005,Angelina,Angelina County,H1,County,An active county or equivalent feature,TX,553253.381,Texas,17,163,1.21824,1.21824
143,72,48,289,01383930,48289,Leon,Leon County,H1,County,An active county or equivalent feature,TX,691721.573,Texas,19,164,1.33095,1.33095
144,101,48,473,01384022,48473,Waller,Waller County,H1,County,An active county or equivalent feature,TX,331811.452,Texas,9,166,1.00887,1.00887
145,127,48,457,01384014,48457,Tyler,Tyler County,H1,County,An active county or equivalent feature,TX,598470.194,Texas,13,167,0.807046,0.807046
146,133,48,471,01384021,48471,Walker,Walker County,H1,County,An active county or equivalent feature,TX,512240.65,Texas,7,168,0.801551,0.801551
147,148,48,089,01383830,48089,Colorado,Colorado County,H1,County,An active county or equivalent feature,TX,622472.651,Texas,18,171,1.53546,1.53546
148,160,48,407,01383989,48407,San Jacinto,San Jacinto County,H1,County,An active county or equivalent feature,TX,401090.775,Texas,11,172,2.56775,2.56775
149,163,48,481,01384026,48481,Wharton,Wharton County,H1,County,An active county or equivalent feature,TX,699854.704,Texas,22,173,0.996332,0.996332
150,167,48,395,01383983,48395,Robertson,Robertson County,H1,County,An active county or equivalent feature,TX,555953.232,Texas,14,174,0.795378,0.795378
151,184,48,291,01383931,48291,Liberty,Liberty County,H1,County,An active county or equivalent feature,TX,754605.259,Texas,23,175,0.655523,0.655523
152,190,48,199,01383885,48199,Hardin,Hardin County,H1,County,An active county or equivalent feature,TX,574571.89,Texas,15,178,0.731261,0.731261
153,196,48,051,01383811,48051,Burleson,Burleson County,H1,County,An active county or equivalent feature,TX,434200.62,Texas,17,179,0.697397,0.697397
154,197,48,455,01384013,48455,Trinity,Trinity County,H1,County,An active county or equivalent feature,TX,458810.78,Texas,15,180,3.28498,3.28498
155,225,48,373,01383972,48373,Polk,Polk County,H1,County,An active county or equivalent feature,TX,710266.894,Texas,24,182,1.12326,1.12326
156,249,48,015,01383793,48015,Austin,Austin County,H1,County,An active county or equivalent feature,TX,419982.854,Texas,18,184,0.567948,0.567948
157,253,48,185,01383878,48185,Grimes,Grimes County,H1,County,An active county or equivalent feature,TX,514942.586,Texas,17,185,1.30313,1.30313
158,259,48,405,01383988,48405,San Augustine,San Augustine County,H1,County,An active county or equivalent feature,TX,378447.031,Texas,6,186,2.74006,2.74006
159,260,48,313,01383939,48313,Madison,Madison County,H1,County,An active county or equivalent feature,TX,301656.999,Texas,6,187,0.799913,0.799913
160,276,48,361,01383966,48361,Orange,Orange County,H1,County,An active county or equivalent feature,TX,243321.452,Texas,9,190,0.739057,0.739057
161,277,48,245,01383908,48245,Jefferson,Jefferson County,H1,County,An active county or equivalent feature,TX,630167.944,Texas,18,191,1.19245,1.19245
162,279,48,403,01383987,48403,Sabine,Sabine County,H1,County,An active county or equivalent feature,TX,369255.879,Texas,11,192,0.821575,0.821575
163,284,48,241,01383906,48241,Jasper,Jasper County,H1,County,An active county or equivalent feature,TX,620256.896,Texas,18,193,0.660509,0.660509
164,285,48,351,01383961,48351,Newton,Newton County,H1,County,An active county or equivalent feature,TX,602056.497,Texas,17,194,0.977437,0.977437
165,4,48,365,01383968,48365,Panola,Panola County,H1,County,An active county or equivalent feature,TX,526574.715,Texas,21,196,0.513154,0.513154
166,9,48,459,01384015,48459,Upshur,Upshur County,H1,County,An active county or equivalent feature,TX,380407.772,Texas,29,197,0.918119,0.918119
167,12,48,035,01383803,48035,Bosque,Bosque County,H1,County,An active county or equivalent feature,TX,641592.216,Texas,15,198,1.04624,1.04624
168,14,48,059,01383815,48059,Callahan,Callahan County,H1,County,An active county or equivalent feature,TX,576625.325,Texas,9,199,2.41627,2.41627
169,15,48,379,01383975,48379,Rains,Rains County,H1,County,An active county or equivalent feature,TX,165252.677,Texas,5,200,1.75054,1.75054
170,16,48,001,01383786,48001,Anderson,Anderson County,H1,County,An active county or equivalent feature,TX,692485.23,Texas,29,201,1.38321,1.38321
171,20,48,441,01384006,48441,Taylor,Taylor County,H1,County,An active county or equivalent feature,TX,588495.559,Texas,16,202,2.66759,2.66759
172,22,48,193,01383882,48193,Hamilton,Hamilton County,H1,County,An active county or equivalent feature,TX,535330.224,Texas,13,203,0.696754,0.696754
173,23,48,429,01384000,48429,Stephens,Stephens County,H1,County,An active county or equivalent feature,TX,589048.452,Texas,3,204,2.04397,2.04397
174,25,48,343,01383957,48343,Morris,Morris County,H1,County,An active county or equivalent feature,TX,166397.738,Texas,8,205,1.51338,1.51338
175,29,48,333,01383952,48333,Mills,Mills County,H1,County,An active county or equivalent feature,TX,479492.966,Texas,8,206,0.0,0.0
176,31,48,223,01383897,48223,Hopkins,Hopkins County,H1,County,An active county or equivalent feature,TX,506416.752,Texas,21,207,0.918315,0.918315
177,38,48,147,01383859,48147,Fannin,Fannin County,H1,County,An active county or equivalent feature,TX,574426.884,Texas,32,208,1.49606,1.49606
178,51,48,077,01383824,48077,Clay,Clay County,H1,County,An active county or equivalent feature,TX,714648.43,Texas,15,209,3.88201,3.88201
179,62,48,181,01383876,48181,Grayson,Grayson County,H1,County,An active county or equivalent feature,TX,625598.427,Texas,33,211,1.32993,1.32993
180,64,48,119,01383846,48119,Delta,Delta County,H1,County,An active county or equivalent feature,TX,177459.581,Texas,8,212,0.806187,0.806187
181,66,48,397,01383984,48397,Rockwall,Rockwall County,H1,County,An active county or equivalent feature,TX,95110.306,Texas,6,213,3.0898,3.0898
182,67,48,133,01383852,48133,Eastland,Eastland County,H1,County,An active county or equivalent feature,TX,594618.554,Texas,16,214,1.3333,1.3333
183,70,48,309,01383946,48309,McLennan,McLennan County,H1,County,An active county or equivalent feature,TX,677633.518,Texas,34,215,1.38904,1.38904
184,71,48,277,01383925,48277,Lamar,Lamar County,H1,County,An active county or equivalent feature,TX,598287.689,Texas,38,216,1.44587,1.44587
185,74,48,367,01383969,48367,Parker,Parker County,H1,County,An active county or equivalent feature,TX,583460.36,Texas,24,217,2.71802,2.71802
186,78,48,203,01383887,48203,Harrison,Harrison County,H1,County,An active county or equivalent feature,TX,584574.111,Texas,20,218,1.26745,1.26745
187,80,48,083,01383827,48083,Coleman,Coleman County,H1,County,An active county or equivalent feature,TX,821175.902,Texas,17,219,1.54868,1.54868
188,89,48,093,01383832,48093,Comanche,Comanche County,H1,County,An active county or equivalent feature,TX,608652.611,Texas,15,220,1.29636,1.29636
189,93,48,067,01383819,48067,Cass,Cass County,H1,County,An active county or equivalent feature,TX,613776.267,Texas,29,221,0.930735,0.930735
190,94,48,139,01383856,48139,Ellis,Ellis County,H1,County,An active county or equivalent feature,TX,607990.534,Texas,32,222,1.23008,1.23008
191,95,48,097,01383834,48097,Cooke,Cooke County,H1,County,An active county or equivalent feature,TX,575578.867,Texas,18,223,0.925112,0.925112
192,98,48,251,01383911,48251,Johnson,Johnson County,H1,County,An active county or equivalent feature,TX,470534.247,Texas,15,224,1.47369,1.47369
193,99,48,159,01383865,48159,Franklin,Franklin County,H1,County,An active county or equivalent feature,TX,188835.747,Texas,6,225,0.802046,0.802046
194,105,48,485,01384028,48485,Wichita,Wichita County,H1,County,An active county or equivalent feature,TX,404063.771,Texas,10,226,1.80274,1.80274
195,110,48,037,01383804,48037,Bowie,Bowie County,H1,County,An active county or equivalent feature,TX,591049.905,Texas,25,227,1.32086,1.32086
196,117,48,449,01384010,48449,Titus,Titus County,H1,County,An active county or equivalent feature,TX,272892.198,Texas,10,228,0.354301,0.354301
197,119,48,155,01383863,48155,Foard,Foard County,H1,County,An active county or equivalent feature,TX,452872.554,Texas,5,229,0.0,0.0
198,123,48,275,01383923,48275,Knox,Knox County,H1,County,An active county or equivalent feature,TX,547409.119,Texas,9,231,1.44172,1.44172
199,132,48,213,01383892,48213,Henderson,Henderson County,H1,County,An active county or equivalent feature,TX,605536.907,Texas,27,232,0.90615,0.90615
200,137,48,347,01383959,48347,Nacogdoches,Nacogdoches County,H1,County,An active county or equivalent feature,TX,629581.988,Texas,21,233,1.0671,1.0671
201,139,48,439,01384005,48439,Tarrant,Tarrant County,H1,County,An active county or equivalent feature,TX,576750.35,Texas,39,234,1.56539,1.56539
202,144,48,257,01383914,48257,Kaufman,Kaufman County,H1,County,An active county or equivalent feature,TX,515935.261,Texas,25,236,1.31848,1.31848
