,Country,Region,Subregion,Location,State_Regi,Location_t,Project_na,Capacity__,Size,Capacity_1,Capacity_2,Technology,Thermal_de,Thermal_eq,Feedwater,Customer_t,Industry,Customer,Plant_stat,Plant_type,Plant_supp,Plant_su_1,Procuremen,Concession,Dev_consor,EPC_price,Water_pric,Last_updat,Latitude,Longitude,name
16,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,4731.0,M,1.25,1.04,MED (Multi-effect Distillation),,HTE (Horizontal Tube Evaporator),Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Presumed Online,Stand-alone,,0.0,EPC,0.0,,"10,880,000 USD",0.0,2012-06-27 03:32:42 UTC,17.731247,-64.777088,St. Croix
17,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,4731.0,M,1.25,1.04,MSF (Multi-stage Flash),Flash,,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Metals,,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100.0,EPC,0.0,,"10,880,000 USD",0.0,2014-04-03 15:30:05 UTC,17.731247,-64.777088,St. Croix
18,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,4731.0,M,1.25,1.04,MSF (Multi-stage Flash),Flash,,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Oil & Gas,Hess Oil,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100.0,EPC,0.0,,"10,880,000 USD",0.0,2014-04-03 15:30:05 UTC,17.731247,-64.777088,St. Croix
19,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,4731.0,M,1.25,1.04,MSF (Multi-stage Flash),Flash,,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Oil & Gas,Hess Oil,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100.0,EPC,0.0,,"10,880,000 USD",0.0,2014-04-03 15:30:05 UTC,17.731247,-64.777088,St. Croix
20,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,4160.0,M,1.1,0.92,MED (Multi-effect Distillation),,HTE (Horizontal Tube Evaporator),Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Presumed Online,Stand-alone,,0.0,EPC,0.0,,"10,440,000 USD",0.0,2012-06-27 03:32:42 UTC,17.731247,-64.777088,St. Croix
21,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,3785.0,M,1.0,0.83,MED (Multi-effect Distillation),,VTE (Vertical Tube Evaporator),Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Presumed Offline,Stand-alone,Stearns-Roger,100.0,EPC,0.0,,"8,970,000 USD",0.0,2016-01-22 12:25:15 UTC,17.7058446,-64.858516,St. Croix
22,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,St. Thomas,3785.0,M,1.0,0.83,MSF (Multi-stage Flash),Flash,,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Offline (Decommissioned),Stand-alone,"Evoqua Water Technologies, LLC",100.0,EPC,0.0,,"8,970,000 USD",0.0,2012-06-27 03:32:43 UTC,18.3336694458,-64.8923950153,St. Thomas
23,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,2270.0,M,0.6,0.5,MED (Multi-effect Distillation),MVC (Mechanical Vapour Compression),,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,Vialco,Presumed Online,Stand-alone,,0.0,EPC,0.0,,"5,890,000 USD",0.0,2012-06-27 03:32:42 UTC,17.731247,-64.777088,St. Croix
24,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,St. Thomas,2080.0,M,0.55,0.46,MED (Multi-effect Distillation),,HTE (Horizontal Tube Evaporator),Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Presumed Online,Stand-alone,,0.0,EPC,0.0,,"5,220,000 USD",0.0,2012-06-27 03:32:43 UTC,18.3336694458,-64.8923950153,St. Thomas
25,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,Golf Course Irrigation Plant,2000.0,M,0.53,0.44,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Online,,,0.0,,0.0,,,0.0,2014-08-28 07:36:27 UTC,18.335361,-64.9534009,Golf Cours
26,U.S. Virgin Islands,Americas,Latin America / Caribbean,"Mahogany Run Golf Course, 1 Mahogany Run North, St. Thomas, VI 00802",,Land based,"Mahogany Run Golf Course, St. Thomas",2000.0,M,0.53,0.44,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Irrigation (TDS <1000ppm),,Mahogany Run Golf Course,Online,Stand-alone,American Engineering Services,100.0,EPC,0.0,,,0.0,2014-08-27 15:42:46 UTC,18.3646490211,-64.9111533165,Mahogany R
27,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,1325.0,M,0.35,0.29,MSF (Multi-stage Flash),Flash,,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Oil & Gas,Hess Oil,Presumed Offline,Stand-alone,Altus Capital Partners,100.0,EPC,0.0,,"3,410,000 USD",0.0,2014-04-03 15:30:05 UTC,17.731247,-64.777088,St. Croix
28,U.S. Virgin Islands,Americas,Latin America / Caribbean,Kingshill,,Land based,Kingshill,1226.0,M,0.32,0.27,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Food & Beverage,,Online,,GdF Suez,100.0,EPC,0.0,,,0.0,2014-04-03 15:30:47 UTC,17.7230296,-64.782923,Kingshill
29,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,St. Thomas,1041.0,M,0.28,0.23,MSF (Multi-stage Flash),Flash,,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Offline (Decommissioned),Stand-alone,Aquatech International Corporation,100.0,EPC,0.0,,"2,710,000 USD",0.0,2012-06-27 03:32:42 UTC,18.3336694458,-64.8923950153,St. Thomas
30,U.S. Virgin Islands,Americas,Latin America / Caribbean,"Mahogany Run Golf Course, 1 Mahogany Run North, St. Thomas, VI 00802",,Land based,"Mahogany Run Golf Course, St. Thomas",1022.0,M,0.27,0.22,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Irrigation (TDS <1000ppm),,Mahogany Run Golf Course,Online,Stand-alone,American Engineering Services,100.0,EPC,0.0,,"2,660,000 USD",0.0,2012-06-27 03:32:42 UTC,18.3646490211,-64.9111533165,Mahogany R
31,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,1000.0,M,0.26,0.22,MSF (Multi-stage Flash),Flash,,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Oil & Gas,Hess Oil,Presumed Online,Stand-alone,Altus Capital Partners,100.0,EPC,0.0,,"2,610,000 USD",0.0,2014-04-03 15:30:05 UTC,17.731247,-64.777088,St. Croix
32,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,946.0,S,0.25,0.21,RO (Reverse Osmosis),,,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Presumed Online,Stand-alone,American Engineering Services,100.0,EPC,0.0,,"960,000 USD",0.0,2016-01-22 12:26:19 UTC,17.7058446,-64.858516,St. Croix
33,U.S. Virgin Islands,Americas,Latin America / Caribbean,,,,U.S. Virgin Islands,681.0,S,0.18,0.15,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),General,,Online,,GdF Suez,0.0,EPC,0.0,,,0.0,2017-07-28 14:45:01 UTC,18.335765,-64.896335,U.S. Virgi
34,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,651.0,S,0.17,0.14,MSF (Multi-stage Flash),Flash,,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Oil & Gas,Hess Oil,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100.0,EPC,0.0,,"1,720,000 USD",0.0,2014-04-03 15:30:05 UTC,17.731247,-64.777088,St. Croix
35,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. John,,Land based,St. John,606.0,S,0.16,0.13,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Online,Stand-alone,Seven Seas Water Corporation,100.0,EPC,0.0,,"1,600,000 USD",0.0,2016-02-22 10:07:06 UTC,18.3368114,-64.7280952,St. John
36,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. John,New Brunswick,Land based,St. John,586.0,S,0.15,0.13,MED (Multi-effect Distillation),MVC (Mechanical Vapour Compression),,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Presumed Online,Stand-alone,,0.0,EPC,0.0,,"1,100,000 USD",0.0,2012-06-27 03:32:42 UTC,18.335079,-64.735691,St. John
37,U.S. Virgin Islands,Americas,Latin America / Caribbean,"The Ritz-Carlton, 6900 Great Bay, St. Thomas, VI 00802",,Land based,"The Ritz-Carlton, St. Thomas",537.0,S,0.14,0.12,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,"The Ritz-Carlton Hotel Company, L.L.C",Online,Stand-alone,Xylem Inc.,100.0,EPC,0.0,,,0.0,2012-06-27 03:34:40 UTC,18.3206004814,-64.8422715068,The Ritz-C
38,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,375.0,S,0.1,0.08,MSF (Multi-stage Flash),Flash,,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,Hotel,Presumed Offline,Stand-alone,Envirogenics,100.0,EPC,0.0,,"1,000,000 USD",0.0,2012-06-27 03:32:42 UTC,17.731247,-64.777088,St. Croix
39,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,Little St. James,341.0,S,0.09,0.08,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,Little St. James,Online,,TSG Water Resources,100.0,EPC,0.0,,,0.0,2016-02-22 10:40:19 UTC,18.300278,-64.825556,Little St.
40,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,St. Thomas,303.0,S,0.08,0.07,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Presumed Offline,Stand-alone,Koch Industries Inc.,100.0,EPC,0.0,,"810,000 USD",0.0,2012-06-27 03:32:43 UTC,18.3336694458,-64.8923950153,St. Thomas
41,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,St. Thomas,302.0,S,0.08,0.07,MSF (Multi-stage Flash),Flash,,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,Holiday Inn,Presumed Offline,Stand-alone,"Beaird Industries, Inc.",100.0,EPC,0.0,,"810,000 USD",0.0,2012-06-27 03:32:42 UTC,18.3336694458,-64.8923950153,St. Thomas
42,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,265.0,S,0.07,0.06,MSF (Multi-stage Flash),Flash,,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Presumed Offline,Stand-alone,Aquatech International Corporation,100.0,EPC,0.0,,"1,010,000 USD",0.0,2012-06-27 03:32:42 UTC,17.731247,-64.777088,St. Croix
43,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,264.0,S,0.07,0.06,RO (Reverse Osmosis),,,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Schuster,Presumed Offline,Stand-alone,Purdesal,100.0,EPC,0.0,,"280,000 USD",0.0,2012-06-27 03:32:42 UTC,17.731247,-64.777088,St. Croix
44,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,St. Thomas,240.0,S,0.06,0.05,MED (Multi-effect Distillation),,,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,Hotel,Presumed Online,Stand-alone,Sasakura Engineering Co Ltd,100.0,EPC,0.0,,"640,000 USD",0.0,2012-06-27 03:32:43 UTC,18.3336694458,-64.8923950153,St. Thomas
45,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. John,New Brunswick,Land based,St. John,200.0,S,0.05,0.04,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Presumed Online,Stand-alone,,0.0,EPC,0.0,,"540,000 USD",0.0,2016-05-20 15:23:25 UTC,18.335079,-64.735691,St. John
46,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. John,New Brunswick,Land based,St. John,189.0,S,0.05,0.04,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Online,Stand-alone,,0.0,EPC,0.0,,"510,000 USD",0.0,2016-05-20 15:23:43 UTC,18.335079,-64.735691,St. John
47,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,St. Thomas,189.0,S,0.05,0.04,MED (Multi-effect Distillation),MVC (Mechanical Vapour Compression),,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,Resort,Presumed Online,Stand-alone,,0.0,EPC,0.0,,"510,000 USD",0.0,2012-06-27 03:32:43 UTC,18.3336694458,-64.8923950153,St. Thomas
48,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,St. Thomas,189.0,S,0.05,0.04,MED (Multi-effect Distillation),MVC (Mechanical Vapour Compression),,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,Resort,Presumed Online,Stand-alone,,0.0,EPC,0.0,,"510,000 USD",0.0,2012-06-27 03:32:43 UTC,18.3336694458,-64.8923950153,St. Thomas
49,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,St. Thomas,151.0,S,0.04,0.03,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Presumed Online,Stand-alone,Xylem Inc.,100.0,EPC,0.0,,"410,000 USD",0.0,2012-06-27 03:32:43 UTC,18.3336694458,-64.8923950153,St. Thomas
50,U.S. Virgin Islands,Americas,Latin America / Caribbean,Virgin Islands,,Land based,Virgin Islands,140.0,S,0.04,0.03,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Presumed Offline,Stand-alone,MECO,100.0,EPC,0.0,,"380,000 USD",0.0,2012-06-27 03:32:43 UTC,18.1646823,-64.6662472,Virgin Isl
51,U.S. Virgin Islands,Americas,Latin America / Caribbean,Virgin Islands,,Land based,Virgin Islands,125.0,S,0.03,0.03,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,,Presumed Offline,Stand-alone,NEPTUNE MICROFLOC,100.0,EPC,0.0,,"340,000 USD",0.0,2012-06-27 03:32:43 UTC,18.1646823,-64.6662472,Virgin Isl
52,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,American Yacht Harbor,114.0,S,0.03,0.03,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,IGY Marinas,Online,,TSG Water Resources,100.0,EPC,0.0,,,0.0,2014-04-03 15:30:40 UTC,18.3336694458,-64.8923950153,American Y
53,U.S. Virgin Islands,Americas,Latin America / Caribbean,"The Buccaneer Hotel, 5007 Estate Shoys, Christiansted, VI 00820, St. Croix",,Land based,"The Buccaneer Hotel, St. Croix",114.0,S,0.03,0.03,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,Buccaneer Hotel,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100.0,EPC,0.0,,"310,000 USD",0.0,2012-06-27 03:32:42 UTC,17.7547784527,-64.6819210052,The Buccan
54,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,St. Thomas,114.0,S,0.03,0.03,MED (Multi-effect Distillation),MVC (Mechanical Vapour Compression),,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,Resort,Presumed Online,Stand-alone,,0.0,EPC,0.0,,"310,000 USD",0.0,2012-06-27 03:32:43 UTC,18.3336694458,-64.8923950153,St. Thomas
55,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,St. Thomas,113.0,S,0.03,0.02,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Presumed Online,Stand-alone,Xylem Inc.,100.0,EPC,0.0,,"300,000 USD",0.0,2012-06-27 03:32:43 UTC,18.3336694458,-64.8923950153,St. Thomas
56,U.S. Virgin Islands,Americas,Latin America / Caribbean,Virgin Islands,,Land based,Virgin Islands,105.0,S,0.03,0.02,RO (Reverse Osmosis),,,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Presumed Offline,Stand-alone,Marland,100.0,EPC,0.0,,"110,000 USD",0.0,2012-06-27 03:32:43 UTC,18.1646823,-64.6662472,Virgin Isl
57,U.S.A.,Americas,North America,Camp Pendleton,California,Land based,San Onofre Nuclear Generating Station (SONGS),378500.0,XL,100.0,83.26,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,San Diego County Water Authority / Municipal Water District of Orange County,Cancelled,,,0.0,EPC,0.0,,,0.0,2018-04-27 10:46:58 UTC,33.368889,-117.555,San Onofre
